barcode,series,control symbol,title,contents dates,contents start year,contents end year,original access status,original access decision reasons,original access decision date,current access status,current access decision reasons,current access decision date,days closed,years closed,url
1761747,A1838,720/5/50 PART 7,data/records-changed-33(1)(a),1979 - 1984,1979,1984,Closed,33(1)(a) | Withheld pending adv,2016-06-14 00:00:00,Open with exception,33(1)(a),2017-10-18 00:00:00,491,1 years 126 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1761747
1887642,A1838,3081/9/12,data/records-changed-33(1)(a),1975 - 1986,1975,1986,Closed,33(1)(a),2009-06-30 00:00:00,Open,,2017-10-11 00:00:00,3025,8 years 103 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1887642
12159941,A1946,1968/877 PART 1,data/records-changed-33(1)(a),1962 - 1965,1962,1965,Closed,33(1)(b) | 33(1)(a) | Withheld pending adv,2015-06-19 00:00:00,Open with exception,33(1)(a),2017-02-16 00:00:00,608,1 years 243 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=12159941
273254,A1838,169/11/87 PART 18,data/records-changed-33(1)(a),1962 - 1962,1962,1962,Closed,33(1)(a) | Withheld pending adv,2011-09-13 00:00:00,Open with exception,33(1)(a),2017-01-16 00:00:00,1952,5 years 126 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=273254
280170,A5954,1599/8,data/records-changed-33(1)(a),1945 - 1948,1945,1948,Closed,33(1)(a) | Withheld pending adv,2014-03-24 00:00:00,Open,,2017-06-15 00:00:00,1179,3 years 83 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=280170
3029746,A1209,1957/4115,data/records-changed-33(1)(a),1956 - 1957,1956,1957,Closed,33(1)(b) | 33(1)(a) | Withheld pending adv,2016-03-23 00:00:00,Open with exception,33(1)(a),2017-01-25 00:00:00,308,0 years 308 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3029746
1337438,A1838,160/11/148 PART 1,data/records-changed-33(1)(a),1947 - 1975,1947,1975,Closed,33(1)(b) | 33(1)(a) | Withheld pending adv,2011-07-06 00:00:00,Open with exception,33(1)(a),2017-06-22 00:00:00,2178,5 years 352 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1337438
1724899,A1838,919/8/9 PART 24,data/records-changed-33(1)(a),1978 - 1979,1978,1979,Closed,33(1)(a) | Withheld pending adv,2011-04-12 00:00:00,Open with exception,33(1)(a) | Withheld pending adv,2017-02-24 00:00:00,2145,5 years 319 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1724899
1389754,A1838,370/1/20 PART 30,data/records-changed-33(1)(a),1985 - 1985,1985,1985,Closed,33(1)(a) | Withheld pending adv,2016-08-08 00:00:00,Open with exception,33(1)(a),2017-05-23 00:00:00,288,0 years 288 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1389754
1505594,A1838,3027/10/6 PART 2,data/records-changed-33(1)(a),1969 - 1978,1969,1978,Closed,33(1)(a) | Withheld pending adv,2011-09-06 00:00:00,Open with exception,33(1)(a),2017-11-02 00:00:00,2249,6 years 58 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1505594
1509152,A1838,3034/10/1/8 PART 1 ANNEX,data/records-changed-33(1)(a),1972 - 1979,1972,1979,Closed,33(1)(b) | 33(1)(a) | Withheld pending adv,2010-08-05 00:00:00,Open with exception,33(1)(a),2017-04-12 00:00:00,2442,6 years 251 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1509152
3123725,A452,1972/2593,data/records-changed-33(1)(a),1972 - 1972,1972,1972,Closed,33(1)(c) | 33(1)(a) | Withheld pending adv,2016-05-19 00:00:00,Open with exception,33(1)(a),2017-11-09 00:00:00,539,1 years 174 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3123725
3108564,A5882,CO862,data/records-changed-33(1)(a),Feb 1970 - Oct 1972,1970,1972,Closed,Closed period | 33(1)(c) | 33(1)(a) | Withheld pending adv,2016-05-03 00:00:00,Open with exception,33(1)(a),2017-11-28 00:00:00,574,1 years 209 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3108564
31517052,A14039,5353,data/records-changed-33(1)(a),26 Oct 1987 - 15 Mar 1988,1987,1988,Closed,33(1)(a),2014-02-04 00:00:00,Open with exception,33(1)(a),2017-03-15 00:00:00,1135,3 years 39 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=31517052
450910,A1838,1495/9/1 PART 2,data/records-changed-33(1)(a),1962 - 1969,1962,1969,Closed,33(1)(a) | Withheld pending adv,2010-08-02 00:00:00,Open with exception,33(1)(a),2017-05-18 00:00:00,2481,6 years 290 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=450910
550704,A1838,3034/11/161 PART 17,data/records-changed-33(1)(a),1972 - 1975,1972,1975,Closed,33(1)(b) | 33(1)(a) | Withheld pending adv,2013-05-23 00:00:00,Open with exception,33(1)(a),2017-01-25 00:00:00,1343,3 years 247 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=550704
586407,A1838,3004/12/16 PART 2,data/records-changed-33(1)(a),1957 - 1961,1957,1961,Closed,33(1)(b) | 33(1)(a) | Withheld pending adv,1900-10-29 00:00:00,Open with exception,33(1)(a),2017-01-16 00:00:00,42448,116 years 79 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=586407
